City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Mathbaria,BD,2020-08-25 21:38:21,22.29,89.96,80.56,88,100,14.09
228,Faya,SA,2020-08-25 21:38:21,18.39,42.45,73.4,77,85,3.36
229,Xianyang,CN,2020-08-25 21:38:22,34.34,108.7,73.99,93,0,4.47
230,Sohag,EG,2020-08-25 21:38:22,26.56,31.69,87.8,25,0,5.82
231,Henties Bay,NA,2020-08-25 21:38:22,-22.12,14.28,55.99,80,2,1.99
232,Taoudenni,ML,2020-08-25 21:38:22,22.68,-3.98,98.78,25,48,2.82
233,Kitami,JP,2020-08-25 21:38:23,43.8,143.89,74.32,74,98,2.3
234,Chifeng,CN,2020-08-25 21:38:23,42.27,118.96,66.79,66,99,1.57
235,Manta,EC,2020-08-25 21:36:22,-0.95,-80.73,77.0,73,20,13.87
236,Hammond,US,2020-08-25 21:38:23,41.58,-87.5,87.01,54,1,9.17
237,Alice Springs,AU,2020-08-25 21:34:48,-23.7,133.88,53.6,34,0,6.93
238,Mao,ES,2020-08-25 21:38:24,39.89,4.27,77.0,78,48,5.82
239,Qasigiannguit,GL,2020-08-25 21:38:24,68.82,-51.19,42.8,75,40,4.7
240,Beyla,GN,2020-08-25 21:38:25,8.68,-8.63,66.2,96,97,2.62
241,Panaba,MX,2020-08-25 21:38:25,21.28,-88.27,77.58,91,100,12.26
242,Pangai,TO,2020-08-25 21:38:26,-19.8,-174.35,78.8,78,20,9.17
243,Qingyuan,CN,2020-08-25 21:38:26,23.7,113.03,84.2,74,20,4.47
244,Sinnamary,GF,2020-08-25 21:38:26,5.38,-52.95,79.59,81,0,6.6
245,Izmir,TR,2020-08-25 21:38:27,38.46,27.09,73.4,73,0,1.12
246,Port Said,EG,2020-08-25 21:38:27,31.26,32.28,82.4,78,0,8.05
247,San Jeronimo,PE,2020-08-25 21:38:27,-11.95,-75.28,61.38,42,10,8.39
248,Gallup,US,2020-08-25 21:34:35,35.53,-108.74,91.4,15,1,6.93
249,Boyolangu,ID,2020-08-25 21:38:28,-8.12,111.89,73.11,86,81,8.08
250,Irtyshskiy,RU,2020-08-25 21:38:28,58.33,68.13,55.45,97,100,8.97
251,Caravelas,BR,2020-08-25 21:38:28,-17.71,-39.25,69.96,66,3,14.85
252,Sangar,RU,2020-08-25 21:38:29,63.92,127.47,45.88,57,0,1.12
